neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,availability_365,number_of_reviews_ltm
Pra Wet,13.69436,100.64475,3000,30,0,,173,0
Lat Phrao,13.81087,100.61051,5900,1,0,,179,0
Huai Khwang,13.76921,100.58103,3785,1,41,2020-02-03,207,0
Bang Khae,13.74225,100.36473,2500,3,2,2018-10-16,344,0
Wang Thong Lang,13.7692,100.61338,450,1,0,,179,0
Suanluang,13.71092,100.63404,850,1,0,,173,0
Bang Kapi,13.76369,100.64917,1000,1,22,2020-03-01,364,0
Bang Rak,13.72325,100.52061,7000,30,0,,365,0
Phaya Thai,13.7779,100.54254,700,1,2,2019-12-02,176,0
Phaya Thai,13.7831,100.54633,3000,30,0,,365,0
Huai Khwang,13.75437,100.56711,4400,1,0,,180,0
Nong Khaem,13.71104,100.35679,658,1,0,,179,0
Lak Si,13.89665,100.58244,360,1,6,2020-01-16,364,0
Bang Rak,13.72125,100.52177,1153,1,132,2022-12-08,338,31
Ratchathewi,13.7522,100.53026,1390,1,4,2019-05-11,363,0
Samphanthawong,13.7369,100.51453,2900,1,3,2019-10-03,320,0
Vadhana,13.74151,100.58774,1150,1,1,2022-11-27,365,1
Bang Rak,13.72435,100.53124,2500,14,0,,290,0
Bang Kho laen,13.69594,100.49205,866,1,9,2019-11-27,35,0
Chatu Chak,13.83324,100.56889,400,30,0,,84,0
Suanluang,13.71175,100.60525,814,3,22,2022-12-11,320,2
Huai Khwang,13.77903,100.5796,720,1,54,2020-03-01,102,0
Huai Khwang,13.77911,100.57544,700,1,120,2020-04-13,102,0
Bangkok Yai,13.74254,100.47208,1100,1,0,,353,0
Parthum Wan,13.73625,100.52193,1779,2,214,2022-12-11,140,31
Vadhana,13.74748,100.55733,1305,28,17,2020-03-25,60,0
Bang Na,13.67092,100.63464,800,1,12,2022-01-18,86,2
Khlong San,13.72078,100.50722,1300,30,2,2019-01-05,227,0
Ratchathewi,13.75175,100.53029,3500,1,3,2019-03-01,357,0
Ratchathewi,13.75398,100.53177,1390,1,2,2022-12-11,357,2
Ratchathewi,13.75353,100.53011,1829,1,2,2018-09-29,120,0
Ratchathewi,13.75197,100.53195,1200,1,3,2022-08-20,302,1
Khlong San,13.72184,100.50466,1000,14,3,2018-02-07,208,0
Bang Rak,13.72126,100.52158,5091,3,4,2022-11-10,347,1
Ratchathewi,13.75256,100.53226,1800,1,3,2018-09-06,120,0
Phasi Charoen,13.72179,100.4592,1190,30,5,2022-10-27,327,1
Samphanthawong,13.73782,100.51135,7957,1,0,,364,0
Huai Khwang,13.75589,100.56565,950,30,24,2022-12-18,333,5
Bangkok Noi,13.76216,100.48594,6000,1,4,2019-05-04,362,0
Bangkok Noi,13.76169,100.48839,6000,1,0,,362,0
Bangkok Noi,13.76277,100.48825,3965,1,2,2022-01-30,358,1
Bangkok Noi,13.76225,100.48639,8000,1,0,,362,0
Bangkok Noi,13.76214,100.48832,8000,1,0,,361,0
Bangkok Noi,13.76287,100.48642,12000,1,0,,174,0
Bangkok Noi,13.76238,100.4864,10400,1,0,,361,0
Parthum Wan,13.73493,100.54118,3199,1,13,2020-02-29,353,0
Parthum Wan,13.73501,100.54317,3199,1,1,2018-02-16,353,0
Parthum Wan,13.73675,100.54167,3982,1,2,2019-07-14,351,0
Parthum Wan,13.73452,100.54294,3199,1,4,2022-11-12,354,2
Parthum Wan,13.73452,100.54081,2546,1,2,2022-12-18,359,1
Parthum Wan,13.73464,100.54096,3199,1,2,2021-11-03,353,0
Bang Rak,13.72633,100.52531,1777,1,0,,271,0
Bang Rak,13.72633,100.52531,2222,1,2,2018-02-19,57,0
Bang Rak,13.7259,100.52634,2222,1,2,2018-02-15,57,0
Parthum Wan,13.73662,100.54233,4915,1,1,2018-04-25,356,0
Parthum Wan,13.73571,100.54198,5008,1,23,2022-12-19,351,11
Bang Rak,13.73201,100.52824,4915,1,1,2018-07-22,349,0
Parthum Wan,13.7352,100.54094,4915,1,4,2022-03-16,349,1
Parthum Wan,13.73452,100.54084,4915,1,1,2018-01-10,349,0
Parthum Wan,13.73571,100.54198,7691,1,17,2022-11-16,332,11
Bang Rak,13.73002,100.52998,3199,1,1,2018-07-02,356,0
Bang Rak,13.73008,100.53029,3199,1,2,2022-02-21,353,2
Vadhana,13.73649,100.58308,1600,7,8,2022-10-15,172,3
Samphanthawong,13.7381,100.50963,6241,1,0,,365,0
Samphanthawong,13.73991,100.50965,7489,1,0,,364,0
Khlong Toei,13.72979,100.56441,1787,2,73,2022-11-08,335,4
Samphanthawong,13.73809,100.5095,6085,1,0,,365,0
Bangkok Noi,13.75567,100.47087,500,1,8,2022-12-12,340,4
Chatu Chak,13.81701,100.56427,790,30,3,2020-02-26,281,0
Chatu Chak,13.80538,100.57275,1200,30,9,2018-02-25,180,0
Vadhana,13.73206,100.58055,3199,5,15,2022-12-07,358,1
Taling Chan,13.77591,100.45361,1505,1,9,2022-11-09,357,1
Din Daeng,13.79917,100.57387,1558,30,90,2022-11-17,79,1
Din Daeng,13.75885,100.56362,1350,1,0,,179,0
Phaya Thai,13.77551,100.54438,2400,1,95,2022-12-11,337,1
Bang Rak,13.72869,100.53553,2500,1,2,2019-04-15,91,0
Phaya Thai,13.77813,100.54351,1214,3,48,2022-12-12,91,9
Khlong Toei,13.72646,100.57236,1490,1,100,2022-11-23,254,7
Vadhana,13.73265,100.58001,1699,5,8,2022-11-12,358,2
Bang Sue,13.81896,100.53214,700,5,125,2022-12-12,184,27
Don Mueang,13.91218,100.57148,675,1,1,2017-09-08,348,0
Don Mueang,13.91187,100.57154,1272,1,2,2022-09-10,170,1
Bang Na,13.67536,100.60025,2500,2,4,2019-03-22,363,0
Din Daeng,13.77802,100.57175,519,30,16,2018-06-29,87,0
Lak Si,13.89023,100.5761,1000,1,17,2019-06-10,1,0
Bang Rak,13.72231,100.51765,1039,1,107,2021-05-28,199,0
Khlong Toei,13.72556,100.56302,2857,2,329,2022-12-16,35,62
Phra Khanong,13.688,100.62398,1000,1,0,,365,0
Thon buri,13.7166,100.48051,650,14,4,2019-02-28,49,0
Yan na wa,13.69569,100.54681,1900,3,0,,267,0
Phra Khanong,13.68517,100.61476,770,10,9,2019-05-29,355,0
Phaya Thai,13.77574,100.54308,1486,2,152,2022-12-12,173,13
Vadhana,13.7152,100.59476,6262,2,1,2018-12-24,364,0
Parthum Wan,13.74271,100.54753,3000,30,43,2022-05-11,150,1
Vadhana,13.71425,100.59348,6262,2,1,2019-02-10,364,0
Khan Na Yao,13.84508,100.65463,1890,1,0,,365,0
Chatu Chak,13.80464,100.56942,800,2,8,2022-08-27,56,2
Vadhana,13.73664,100.58021,1697,2,11,2022-07-29,331,2
Phra Khanong,13.68702,100.60565,800,29,20,2019-12-17,211,0
Lak Si,13.90321,100.5779,400,1,3,2018-04-08,365,0
Thon buri,13.71507,100.47989,1180,60,13,2022-05-28,301,1
Phaya Thai,13.79564,100.53781,1350,30,0,,179,0
Bang Rak,13.72463,100.52159,2558,14,61,2022-10-20,328,1
Vadhana,13.73347,100.59027,4786,3,13,2019-09-17,85,0
Khlong Toei,13.72635,100.56357,2147,2,68,2022-12-24,331,11
Vadhana,13.74309,100.55769,1500,1,2,2020-03-03,85,0
Vadhana,13.73544,100.59079,8509,2,35,2022-10-30,172,4
Vadhana,13.74309,100.55769,6000,1,1,2019-11-13,146,0
Bangkok Yai,13.74216,100.47444,2200,1,3,2021-11-29,179,0
Khlong Toei,13.73313,100.56259,4871,1,8,2018-06-21,364,0
Khlong Toei,13.73313,100.56259,4871,1,6,2019-11-22,364,0
Ratchathewi,13.7544,100.53902,1657,1,62,2022-12-05,348,3
Vadhana,13.73308,100.56875,1806,2,77,2022-12-14,309,28
Vadhana,13.73264,100.58509,1200,15,4,2018-05-24,84,0
Bang Sue,13.80525,100.52832,1688,4,34,2022-12-07,133,21
Khlong Toei,13.72388,100.57588,3000,7,0,,360,0
Bangkok Noi,13.76907,100.48324,400,1,0,,365,0
Phra Khanong,13.69014,100.60371,878,7,11,2022-10-10,136,5
Phra Khanong,13.6931,100.60688,599,14,3,2018-01-17,331,0
Bang Rak,13.727,100.53089,1250,1,2,2019-02-22,82,0
Parthum Wan,13.73539,100.54194,3853,1,34,2022-09-18,351,1
Huai Khwang,13.75814,100.56848,2300,4,35,2020-01-29,29,0
Phasi Charoen,13.71321,100.45314,600,30,0,,365,0
Vadhana,13.73622,100.56196,2400,1,223,2022-12-26,18,47
Phra Nakhon,13.76181,100.49843,750,1,18,2019-06-04,361,0
Yan na wa,13.69716,100.54236,5000,1,0,,365,0
Phasi Charoen,13.72014,100.45763,10000,1,0,,362,0
Khlong Toei,13.72039,100.56574,1050,1,6,2022-12-14,159,3
Vadhana,13.73354,100.57731,2300,2,14,2020-01-22,294,0
Khlong Toei,13.72058,100.56563,1200,1,2,2022-12-03,153,1
Suanluang,13.73249,100.64701,1400,1,236,2022-12-16,316,35
Vadhana,13.71187,100.60147,800,30,9,2022-11-30,318,4
Vadhana,13.74565,100.5571,1300,30,190,2022-12-10,86,47
Bang Na,13.66087,100.61088,970,14,32,2022-12-10,234,11
Huai Khwang,13.76458,100.57011,1200,7,3,2019-05-09,271,0
Bang Sue,13.8241,100.53205,994,3,85,2022-12-07,350,12
Huai Khwang,13.77224,100.58031,409,1,0,,365,0
Yan na wa,13.7027,100.53742,8543,1,2,2018-04-08,364,0
Yan na wa,13.70245,100.53722,8143,1,0,,364,0
Yan na wa,13.70218,100.53849,11943,1,1,2018-11-09,359,0
Yan na wa,13.70047,100.53822,1011,60,0,,255,0
Bang Rak,13.72621,100.52559,1500,2,100,2022-12-08,173,2
Bang Kho laen,13.70446,100.50714,3500,30,1,2017-12-10,88,0
Samphanthawong,13.73733,100.50986,2951,1,7,2022-07-01,308,2
Vadhana,13.71416,100.59481,1443,3,29,2022-12-16,333,21
Bang Khen,13.86574,100.61812,1571,4,0,,87,0
Bang Rak,13.72609,100.5262,3389,3,96,2022-12-23,315,26
Vadhana,13.74687,100.55027,3500,2,217,2022-12-20,67,45
Bang Rak,13.72655,100.53005,1709,16,37,2022-09-03,355,5
Bang Na,13.65955,100.60498,874,8,28,2022-11-21,324,8
Bueng Kum,13.81161,100.64916,1300,1,1,2017-12-01,358,0
Khlong Toei,13.72382,100.57576,2500,5,0,,173,0
Min Buri,13.79924,100.71665,350,1,0,,179,0
Don Mueang,13.91202,100.57159,670,1,2,2022-12-09,167,2
Don Mueang,13.91204,100.57159,670,1,5,2022-10-21,171,2
Don Mueang,13.91209,100.57156,670,1,12,2022-11-07,170,2
Don Mueang,13.91208,100.57153,670,1,4,2018-06-29,170,0
Sathon,13.72317,100.53992,2500,2,2,2020-01-04,91,0
Samphanthawong,13.73685,100.5145,12000,1,1,2017-12-02,2,0
Rat Burana,13.67876,100.52044,1200,30,0,,365,0
Vadhana,13.73518,100.56847,2000,5,49,2022-11-28,73,14
Bang Na,13.68058,100.61055,6262,2,1,2018-11-03,364,0
Bang Phlat,13.77668,100.48524,320,1,4,2019-04-07,360,0
Bang Khen,13.86596,100.61732,2200,1,0,,179,0
Parthum Wan,13.74055,100.54116,2000,29,0,,365,0
Chatu Chak,13.8259,100.58227,2800,1,0,,365,0
Chatu Chak,13.80638,100.57269,1138,30,39,2022-10-28,33,4
Thon buri,13.71752,100.47508,446,30,0,,360,0
Vadhana,13.74192,100.55671,1500,1,6,2022-10-25,363,1
Bang Sue,13.81988,100.53218,516,7,75,2022-11-25,297,1
Suanluang,13.73585,100.61801,600,14,0,,149,0
Chatu Chak,13.80415,100.56751,1229,2,32,2020-01-09,88,0
Din Daeng,13.75597,100.56426,2700,30,79,2022-12-04,164,5
Huai Khwang,13.75895,100.57407,3820,2,82,2020-03-01,304,0
Bang Rak,13.72528,100.53221,1089,1,8,2022-11-21,333,3
Bang Rak,13.72692,100.53022,1089,1,9,2022-12-03,354,4
Bang Rak,13.72521,100.53008,1089,1,22,2022-10-30,327,3
Sathon,13.72145,100.53075,4000,3,62,2022-12-20,327,8
Bang Kapi,13.76019,100.64308,1600,1,2,2018-03-18,365,0
Bang Phlat,13.800304412841797,100.50945281982422,700,1,0,,179,0
Vadhana,13.73494,100.56638,2400,2,34,2022-12-03,288,10
Saphan Sung,13.76825,100.68037,11950,2,1,2018-09-18,358,0
Phaya Thai,13.78335,100.54137,8321,1,144,2022-12-06,97,30
Bang Rak,13.72124,100.52181,1935,1,204,2022-12-26,305,31
Phaya Thai,13.78583,100.5541,1608,2,0,,235,0
Bang Kho laen,13.70798,100.51071,950,5,103,2022-12-14,265,2
Bangkok Noi,13.75032,100.47093,850,1,0,,180,0
Bang Phlat,13.77092,100.49468,500,1,75,2020-02-07,363,0
Wang Thong Lang,13.77355,100.59608,350,1,0,,364,0
Bang Phlat,13.77059,100.48607,800,1,0,,330,0
Bang Kho laen,13.70701,100.50549,1300,30,1,2017-12-23,87,0
Vadhana,13.73275,100.56996,1371,2,54,2022-12-14,70,21
Vadhana,13.73432,100.57187,1114,1,113,2022-11-23,63,17
Phaya Thai,13.78533,100.55573,1435,2,0,,263,0
Bang Sue,13.82353,100.5315,2424,4,79,2022-12-26,356,2
Chom Thong,13.71344,100.46738,1500,6,73,2022-12-25,331,10
Bang Rak,13.72685,100.52984,1874,16,20,2022-09-26,342,3
Bang Rak,13.72186,100.52739,1039,20,12,2020-05-16,208,0
Don Mueang,13.93443,100.56582,800,1,0,,90,0
Din Daeng,13.75714,100.55932,1400,7,5,2020-01-04,118,0
Don Mueang,13.92425,100.59831,700,1,3,2022-12-24,347,2
Vadhana,13.74124,100.55705,3500,16,28,2022-06-04,329,2
Bang Na,13.66598,100.60097,4000,3,0,,365,0
Vadhana,13.73177,100.5868,2307,35,7,2020-01-01,179,0
Bang Rak,13.72623,100.52091,390,1,1,2017-12-04,365,0
Din Daeng,13.77721,100.56063,700,2,126,2022-12-15,347,13
Khlong Toei,13.72635,100.56357,1247,2,76,2022-12-23,252,6
Phra Khanong,13.69338,100.60455,700,12,2,2017-12-07,363,0
Din Daeng,13.77258,100.55768,500,1,107,2022-12-11,355,2
Khlong Sam Wa,13.86616,100.69757,1200,30,0,,179,0
Khlong Toei,13.72209,100.57914,750,28,33,2022-11-28,86,3
Ratchathewi,13.75737,100.52854,1200,3,58,2022-12-15,253,12
Khlong Toei,13.73792,100.55857,5349,2,33,2022-12-06,143,4
Thon buri,13.7229,100.49087,1400,1,7,2018-05-15,365,0
Vadhana,13.74768,100.55816,1337,1,74,2022-11-29,134,16
Yan na wa,13.69694,100.53774,1620,3,0,,330,0
Khlong Toei,13.71185,100.58271,2000,1,0,,179,0
Khlong San,13.71743,100.50334,589,2,12,2018-11-28,125,0
Bang Rak,13.72616,100.52092,1000,1,1,2018-01-02,365,0
Huai Khwang,13.78987,100.58378,3000,2,28,2019-10-06,356,0
Lak Si,13.88616,100.57821,885,1,2,2022-12-08,270,1
Bang Rak,13.72624,100.52049,625,1,8,2019-11-20,365,0
Bang Rak,13.72624,100.52087,400,1,2,2018-11-28,365,0
Bang Sue,13.8312,100.52613,899,60,1,2018-06-16,365,0
Phra Nakhon,13.76279,100.4979,750,1,123,2020-03-05,354,0
Bang Rak,13.72622,100.52091,900,1,1,2018-12-21,365,0
Bang Rak,13.72626,100.52091,950,1,0,,365,0
Chom Thong,13.69753,100.43593,960,1,0,,364,0
Phra Khanong,13.69411,100.60196,2078,2,37,2022-08-31,357,1
Chatu Chak,13.80414,100.5606,800,30,2,2017-11-06,180,0
Thon buri,13.69908,100.48321,350,2,0,,90,0
Parthum Wan,13.74183,100.54333,1600,28,56,2022-10-31,224,7
Bang Sue,13.80394,100.53525,700,2,0,,180,0
Khlong Toei,13.71946,100.5665,1100,1,3,2018-03-06,58,0
Sathon,13.72001,100.52784,1590,7,12,2022-12-01,234,1
Thon buri,13.69742,100.48338,350,2,1,2022-11-24,90,1
Bang Phlat,13.77194,100.48447,500,1,0,,365,0
Bang Rak,13.72469,100.5303,3983,1,95,2020-02-12,355,0
Vadhana,13.74301,100.55566,1700,3,10,2022-12-24,314,10
Phasi Charoen,13.71798,100.45817,1100,1,45,2022-12-23,169,9
Vadhana,13.72949,100.58929,5000,2,2,2018-01-02,41,0
Huai Khwang,13.77249,100.57457,1500,1,0,,90,0
Bang Rak,13.72565,100.52202,1000,1,3,2018-08-24,263,0
Bang Kapi,13.75891,100.64224,650,1,1,2018-10-21,365,0
Bang Khen,13.85417,100.60746,4500,1,1,2018-05-19,180,0
Pom Prap Sattru Phai,13.75784,100.5079,949,1,64,2022-12-22,343,8
Bang Kapi,13.75828,100.64239,1500,1,0,,365,0
Pom Prap Sattru Phai,13.75784,100.5079,858,1,212,2022-12-26,323,27
Pom Prap Sattru Phai,13.75784,100.5079,949,1,186,2022-12-25,333,24
Bang Kapi,13.76051,100.64379,750,1,1,2019-04-04,364,0
Khlong San,13.72538,100.49535,800,14,1,2018-01-15,365,0
Ratchathewi,13.75897,100.54442,1500,4,0,,365,0
Huai Khwang,13.79073,100.57457,1000,1,0,,180,0
Taling Chan,13.78535,100.46075,2200,1,0,,179,0
Phra Nakhon,13.76111,100.49707,900,1,26,2022-10-17,81,1
Chatu Chak,13.80506,100.57967,1500,1,0,,90,0
Ratchathewi,13.75259,100.53176,1454,1,1,2019-01-09,357,0
Ratchathewi,13.75196,100.5323,1779,1,0,,339,0
Thung khru,13.64628,100.49699,678,3,0,,270,0
Vadhana,13.73463,100.58486,2200,2,0,,365,0
Ratchathewi,13.75554,100.54035,1557,2,132,2022-12-26,327,14
Phra Nakhon,13.76131,100.49559,350,1,61,2022-10-03,179,6
Bangkok Noi,13.76919,100.48318,800,1,2,2019-05-01,364,0
Bangkok Noi,13.77088,100.4832,420,1,0,,365,0
Bang Sue,13.81433,100.54,346,7,0,,90,0
Huai Khwang,13.79099,100.57573,890,3,33,2020-01-09,326,0
Phasi Charoen,13.73754,100.43821,1080,1,1,2018-02-18,365,0
Huai Khwang,13.75351,100.58621,970,1,11,2019-08-21,31,0
Lat Phrao,13.83423,100.62563,1300,3,68,2022-12-15,176,6
Bang Na,13.65601,100.64535,750,7,0,,88,0
Pom Prap Sattru Phai,13.75949,100.50883,899,1,81,2022-12-15,342,1
Pom Prap Sattru Phai,13.75817,100.50813,899,1,49,2022-12-20,310,17
Pom Prap Sattru Phai,13.75841,100.50815,899,1,131,2022-12-18,333,27
Ratchathewi,13.75212,100.53221,485,1,12,2022-12-09,362,6
Ratchathewi,13.75428,100.53226,577,1,2,2019-12-06,362,0
Ratchathewi,13.75237,100.53375,470,1,12,2022-11-02,356,1
Vadhana,13.72849,100.59066,6715,1,10,2022-11-25,79,4
Bang Khae,13.71529,100.37899,10000,1,0,,180,0
Sathon,13.72096,100.52911,3757,2,30,2022-12-02,141,9
Khlong San,13.72259,100.49495,1300,1,6,2021-04-24,354,0
Vadhana,13.73272,100.58011,3500,3,19,2020-01-28,359,0
Sathon,13.71167,100.52875,3000,5,1,2018-05-11,181,0
Bang Sue,13.830756187438965,100.53377532958984,1090,30,19,2020-02-22,355,0
Ratchathewi,13.75228,100.53222,465,1,6,2022-12-06,361,4
Ratchathewi,13.75202,100.53393,505,1,6,2022-08-28,363,1
Suanluang,13.73263,100.64706,1531,1,77,2022-11-23,354,4
Bang Rak,13.72471,100.53048,3983,1,67,2022-10-29,338,1
Khlong Toei,13.7160644,100.5897065,8000,2,12,2022-12-17,325,12
Vadhana,13.73976,100.55951,2186,2,52,2022-12-14,83,13
Yan na wa,13.69113,100.54783,1710,2,18,2022-12-05,338,9
Khlong San,13.72117,100.50586,1000,2,0,,358,0
Khlong Toei,13.72635,100.56357,1801,2,63,2022-12-18,343,16
Vadhana,13.73771,100.55988,2429,1,154,2022-12-20,39,27
Huai Khwang,13.74955,100.5774,1399,1,23,2018-11-04,90,0
Thon buri,13.69899,100.48305,360,1,4,2022-12-07,90,1
Huai Khwang,13.782028198242188,100.57911682128906,429,2,7,2022-03-31,13,2
Phasi Charoen,13.70926,100.45012,935,1,1,2017-12-18,358,0
Phasi Charoen,13.7185,100.45843,1100,1,43,2022-11-29,135,7
Khlong Toei,13.72662,100.56301,1212,30,0,,365,0
Bang Na,13.65386,100.64477,3211,3,5,2020-01-05,346,0
Bang Khen,13.84892,100.63975,750,3,5,2022-12-23,359,1
Ratchathewi,13.75161,100.53947,2120,2,101,2022-12-26,133,2
Huai Khwang,13.782007217407228,100.57918548583984,381,2,7,2022-12-15,19,5
Bang Sue,13.82298,100.5328,495,10,85,2021-01-12,297,0
Phra Khanong,13.68851,100.60785,1090,1,93,2019-02-28,83,0
Lat Phrao,13.82318,100.6216,1000,3,0,,83,0
Bang Kapi,13.78121,100.64326,990,1,0,,180,0
Phra Khanong,13.68965,100.61188,771,4,44,2022-12-26,46,10
Khlong Toei,13.71139,100.59405,1682,2,21,2022-11-26,289,10
Phaya Thai,13.79387,100.55025,1765,1,0,,365,0
Phra Nakhon,13.74957,100.49764,350,1,90,2020-03-06,334,0
Bang Rak,13.726628,100.536797,1500,1,8,2020-01-02,84,0
Bang Rak,13.72566,100.5389,4086,1,152,2022-10-11,114,38
Khlong Toei,13.7113,100.59679,1697,21,50,2022-10-01,334,1
Din Daeng,13.75642,100.56426,429,1,24,2022-09-13,342,9
Din Daeng,13.75679,100.56442,429,1,23,2022-12-03,343,1
Khlong Toei,13.72217,100.56596,1714,28,36,2022-11-15,56,1
Vadhana,13.73494,100.56638,2700,2,9,2022-11-20,360,4
Bang Rak,13.72481,100.5215,400,1,1,2019-01-06,271,0
Bang Rak,13.72444,100.52364,400,1,2,2018-02-23,270,0
Din Daeng,13.7567,100.56435,2200,1,2,2020-01-03,339,0
Khlong Toei,13.73473,100.5551,2000,2,2,2019-12-31,352,0
Khlong Toei,13.73417,100.55567,1650,2,4,2019-09-19,330,0
Khlong Toei,13.73467,100.55551,1850,2,24,2022-07-13,330,1
Parthum Wan,13.7443,100.51688,1247,1,30,2022-11-27,164,3
Khlong Toei,13.72473,100.56704,1800,1,15,2022-12-04,86,4
Khlong Toei,13.72454,100.56682,2500,28,49,2022-05-15,88,2
Vadhana,13.73415,100.58128,3199,5,19,2022-12-02,325,2
Bang Kapi,13.78963,100.62782,700,60,0,,365,0
Khlong Toei,13.71015,100.59278,5000,3,2,2017-12-25,365,0
Vadhana,13.73609,100.56478,2650,1,0,,89,0
Thon buri,13.71693,100.4817,660,14,12,2022-09-24,329,3
Bang Rak,13.72245,100.52761,1650,15,118,2022-11-27,285,3
Bang Na,13.66457,100.60465,1250,28,24,2022-11-22,28,2
Khlong San,13.71128,100.49875,1500,1,1,2018-03-17,350,0
Huai Khwang,13.75639,100.57256,1000,30,0,,149,0
Bangkok Noi,13.74908,100.46939,900,1,1,2019-02-02,180,0
Bangkok Noi,13.749,100.47076,1500,1,0,,178,0
Din Daeng,13.76975,100.57141,707,2,3,2022-11-15,63,1
Yan na wa,13.67276,100.54216,1350,3,21,2022-12-24,265,4
Bang Na,13.65423,100.64698,1500,30,0,,365,0
Pra Wet,13.69773,100.65164,990,1,1,2017-11-13,365,0
Bang Sue,13.82279,100.5358,1350,1,0,,365,0
Phra Nakhon,13.74763,100.49751,350,1,8,2022-12-02,336,1
Bang Khae,13.69589,100.39702,500,1,0,,88,0
Vadhana,13.74012,100.58543,1773,4,36,2020-02-28,301,0
Lak Si,13.86942,100.57981,750,1,175,2022-12-05,364,11
Vadhana,13.72995,100.59105,5500,4,0,,179,0
Pom Prap Sattru Phai,13.7533,100.50617,3200,1,3,2019-03-26,330,0
Bang Rak,13.7247,100.53267,12000,1,78,2020-12-27,329,0
Phra Khanong,13.68978,100.60393,650,1,6,2020-03-16,118,0
Bangkok Noi,13.76958,100.48335,1300,1,0,,365,0
Phra Khanong,13.68978,100.60393,644,1,9,2019-02-24,118,0
Din Daeng,13.77627,100.5594,610,1,129,2022-07-22,305,3
Bang Na,13.67881,100.6141,500,7,8,2022-11-04,67,1
Din Daeng,13.75993,100.56204,899,60,0,,174,0
Lat Krabang,13.72088,100.72019,1500,3,1,2017-12-19,90,0
Bang Na,13.65703,100.60898,699,1,1,2017-12-21,90,0
Khlong Toei,13.72089,100.56862,1608,21,74,2020-04-06,83,0
Huai Khwang,13.76138,100.56781,1786,28,76,2022-07-16,148,1
Bang Kho laen,13.70378,100.50618,910,2,106,2022-12-09,325,19
Bang Na,13.67391,100.60778,936,3,11,2022-12-12,353,7
Khlong San,13.7232,100.49555,1600,1,2,2020-01-28,176,0
Din Daeng,13.7939488,100.5710429,561,1,153,2022-12-06,357,11
Vadhana,13.72862,100.57695,15000,2,0,,304,0
Huai Khwang,13.75653,100.56621,2100,1,0,,180,0
Vadhana,13.73701,100.58652,350,1,0,,89,0
Bang Rak,13.72483,100.52936,1400,30,5,2022-11-21,339,2
Khlong Toei,13.71206,100.58335,1000,3,9,2020-01-23,130,0
Khlong San,13.72695,100.50791,10000,2,0,,86,0
Vadhana,13.72399,100.58087,1700,7,2,2019-03-04,339,0
Pom Prap Sattru Phai,13.75673,100.50712,1300,1,3,2021-12-11,357,0
Lat Phrao,13.80644,100.60905,550,1,0,,365,0
Bang Kapi,13.76392,100.65214,950,1,1,2018-01-12,365,0
Bang Rak,13.72181,100.51624,2100,3,1,2017-12-12,360,0
Phra Nakhon,13.75789,100.50445,1500,1,54,2022-12-08,145,19
Bang Phlat,13.76509,100.49018,3900,5,7,2021-05-05,158,0
Huai Khwang,13.782069206237791,100.5791015625,479,2,10,2022-12-08,23,6
Vadhana,13.725,100.57838,900,1,8,2022-09-26,180,1
Phra Nakhon,13.75172,100.49712,7000,28,1,2018-02-11,365,0
Khlong Toei,13.72899,100.5719,571,1,38,2022-11-27,66,8
Vadhana,13.74195,100.55532,1400,1,11,2022-11-06,354,2
Sathon,13.71932,100.53856,2500,7,54,2022-12-11,250,8
Pra Wet,13.71667,100.65315,10000,28,9,2019-10-01,363,0
Phra Nakhon,13.75164,100.49709,4400,28,0,,365,0
Phra Nakhon,13.75164,100.49709,7000,28,3,2019-04-14,365,0
Bang Na,13.68296,100.61304,2200,3,1,2019-06-07,365,0
Bang Na,13.68171,100.61453,2500,3,2,2019-08-11,358,0
Vadhana,13.72495,100.58019,800,1,6,2022-11-06,210,2
Huai Khwang,13.74766,100.57819,1299,30,9,2019-11-24,89,0
Khlong San,13.7214,100.50982,1200,1,2,2018-10-26,86,0
Rat Burana,13.68183,100.49652,550,1,1,2018-03-10,270,0
Bang Na,13.68323,100.61291,2500,3,4,2022-12-08,353,2
Bang Na,13.68294,100.61504,2200,3,2,2019-04-05,365,0
Thon buri,13.73933,100.48966,1465,1,145,2022-12-06,271,22
Huai Khwang,13.75116,100.57929,1299,30,4,2018-05-02,84,0
Chatu Chak,13.80721,100.57319,1129,7,28,2022-12-15,88,2
Yan na wa,13.67746,100.54527,1900,1,0,,180,0
Parthum Wan,13.73779,100.55023,1380,5,11,2019-10-21,87,0
Huai Khwang,13.74996,100.57766,751,30,1,2019-12-19,179,0
Bang Rak,13.72516,100.53039,1089,1,3,2019-07-31,357,0
Suanluang,13.71189,100.63212,1108,3,11,2019-12-29,364,0
Bang Rak,13.72559,100.52989,1089,1,6,2022-11-28,353,2
Bang Kapi,13.75757,100.65214,2500,3,9,2020-01-15,302,0
Phra Nakhon,13.75898,100.50068,800,1,0,,364,0
Phra Khanong,13.70116,100.60021,2000,1,0,,179,0
Phasi Charoen,13.7091,100.45031,1000,5,11,2019-07-13,210,0
Huai Khwang,13.74609,100.58194,2597,28,3,2018-04-12,179,0
Lat Phrao,13.80731,100.60403,5000,1,0,,88,0
Huai Khwang,13.7848,100.57457,666,30,2,2019-01-23,161,0
Phasi Charoen,13.73963,100.44679,950,1,0,,178,0
Phasi Charoen,13.70959,100.45244,1255,1,0,,89,0
