neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,availability_365,number_of_reviews_ltm
Sathon,13.71655,100.51384,926,1,1,2019-04-13,365,0
Sathon,13.71496,100.51406,866,1,0,,365,0
Sathon,13.718,100.51573,650,1,0,,365,0
Sathon,13.71662,100.51572,866,1,2,2019-01-01,365,0
Bang Rak,13.72687,100.52326,5887,30,8,2019-01-22,358,0
Don Mueang,13.9277,100.58757,1250,1,0,,365,0
Phaya Thai,13.7736,100.54079,2571,3,109,2022-12-18,342,56
Chatu Chak,13.80994,100.5651,4156,30,0,,348,0
Phaya Thai,13.77776,100.54353,3847,9,34,2021-05-17,167,0
Vadhana,13.73757,100.55996,1485,3,206,2022-12-14,130,20
Dusit,13.77537,100.52383,2814,1,271,2022-12-20,154,2
Sathon,13.72062,100.54707,707,1,93,2022-11-25,346,11
Bang Kapi,13.75056,100.60844,1316,5,1,2013-12-03,364,0
Bang Rak,13.72225,100.51642,2061,30,11,2015-09-02,365,0
Bang Rak,13.72221,100.51568,2061,30,3,2015-09-01,365,0
Sathon,13.72061,100.54706,750,1,426,2022-12-08,344,10
Lak Si,13.88974,100.56257,800,1,27,2016-04-08,353,0
Sathon,13.72062,100.54709,693,1,224,2022-12-13,349,4
Phaya Thai,13.78148,100.54868,1088,2,1,2019-01-04,365,0
Thon buri,13.71699,100.4783,2000,7,0,,354,0
Bang Na,13.67926,100.61655,808,29,147,2022-11-30,317,2
Phaya Thai,13.78887,100.56009,500,30,4,2012-12-15,365,0
Din Daeng,13.78777,100.56551,866,1,6,2015-10-18,365,0
Parthum Wan,13.74088,100.54102,3097,12,120,2022-12-04,54,1
Phaya Thai,13.78686,100.54951,850,30,14,2020-01-10,362,0
Phra Nakhon,13.76473,100.49718,935,30,34,2022-06-19,255,1
Sathon,13.70644,100.52544,1212,21,0,,365,0
Bang Rak,13.72007,100.51711,1300,30,3,2015-01-01,365,0
Bang Rak,13.72063,100.51611,1300,30,0,,365,0
Sathon,13.72075,100.53993,1558,21,2,2018-12-05,364,0
Vadhana,13.73332,100.57099,2220,21,58,2022-11-18,346,2
Dusit,13.77073,100.50478,7500,1,0,,365,0
Sathon,13.71425,100.51332,703,1,206,2022-12-14,355,6
Sathon,13.72027,100.52851,3757,2,135,2022-11-11,144,3
Samphanthawong,13.73989,100.50179,1732,5,1,2013-08-18,365,0
